pre_miRNA	arm_5p_acc	arm_5p_name	arm_3p_acc	arm_3p_name
MI0003820	MIMAT0003884	hsa-miR-454-5p	MIMAT0003885	hsa-miR-454-3p
MI0005717	MIMAT0004975	hsa-miR-509-3-5p	MIMAT0002881	hsa-miR-509-3p
MI0022210	MIMAT0025452	hsa-miR-548ay-5p	MIMAT0025453	hsa-miR-548ay-3p
MI0003610	MIMAT0026620	hsa-miR-598-5p	MIMAT0003266	hsa-miR-598-3p
MI0014130	MIMAT0019197	hsa-miR-3117-5p	MIMAT0014979	hsa-miR-3117-3p
MI0017330	MIMAT0019791	hsa-miR-4697-5p	MIMAT0019792	hsa-miR-4697-3p
MI0022594	MIMAT0027398	hsa-miR-6749-5p	MIMAT0027399	hsa-miR-6749-3p
MI0017287	MIMAT0019726	hsa-miR-4659a-5p	MIMAT0019727	hsa-miR-4659a-3p
MI0022657	MIMAT0027524	hsa-miR-6812-5p	MIMAT0027525	hsa-miR-6812-3p
MI0000083	MIMAT0000082	hsa-miR-26a-5p	MIMAT0004499	hsa-miR-26a-1-3p
MI0022560	MIMAT0025857	hsa-miR-892c-5p	MIMAT0025858	hsa-miR-892c-3p
MI0022220	MIMAT0025472	hsa-miR-6508-5p	MIMAT0025473	hsa-miR-6508-3p
MI0000479	MIMAT0000451	hsa-miR-150-5p	MIMAT0004610	hsa-miR-150-3p
MI0022596	MIMAT0027402	hsa-miR-6751-5p	MIMAT0027403	hsa-miR-6751-3p
MI0022639	MIMAT0027488	hsa-miR-6794-5p	MIMAT0027489	hsa-miR-6794-3p
MI0000471	MIMAT0000444	hsa-miR-126-5p	MIMAT0000445	hsa-miR-126-3p
MI0022631	MIMAT0027472	hsa-miR-6786-5p	MIMAT0027473	hsa-miR-6786-3p
MI0019110	MIMAT0019940	hsa-miR-4436b-5p	MIMAT0019941	hsa-miR-4436b-3p
MI0003133	MIMAT0002814	hsa-miR-432-5p	MIMAT0002815	hsa-miR-432-3p
MI0016076	MIMAT0018098	hsa-miR-3675-5p	MIMAT0018099	hsa-miR-3675-3p
MI0017302	MIMAT0019752	hsa-miR-4671-5p	MIMAT0019753	hsa-miR-4671-3p
MI0000067	MIMAT0000067	hsa-let-7f-5p	MIMAT0004486	hsa-let-7f-1-3p
MI0000268	MIMAT0000255	hsa-miR-34a-5p	MIMAT0004557	hsa-miR-34a-3p
MI0025512	MIMAT0030415	hsa-miR-1273h-5p	MIMAT0030416	hsa-miR-1273h-3p
MI0022685	MIMAT0027580	hsa-miR-6839-5p	MIMAT0027581	hsa-miR-6839-3p
MI0017867	MIMAT0021021	hsa-miR-5001-5p	MIMAT0021022	hsa-miR-5001-3p
MI0016843	MIMAT0019016	hsa-miR-4482-5p	MIMAT0020958	hsa-miR-4482-3p
MI0000062	MIMAT0000062	hsa-let-7a-5p	MIMAT0004481	hsa-let-7a-3p
MI0017307	MIMAT0019758	hsa-miR-4676-5p	MIMAT0019759	hsa-miR-4676-3p
MI0014217	MIMAT0015057	hsa-miR-3180-5p	MIMAT0015058	hsa-miR-3180-3p
MI0016788	MIMAT0018963	hsa-miR-4445-5p	MIMAT0018964	hsa-miR-4445-3p
MI0000456	MIMAT0000431	hsa-miR-140-5p	MIMAT0004597	hsa-miR-140-3p
MI0017440	MIMAT0019965	hsa-miR-4793-5p	MIMAT0019966	hsa-miR-4793-3p
MI0000803	MIMAT0004693	hsa-miR-330-5p	MIMAT0000751	hsa-miR-330-3p
MI0023619	MIMAT0028232	hsa-miR-7161-5p	MIMAT0028233	hsa-miR-7161-3p
MI0023611	MIMAT0028212	hsa-miR-7151-5p	MIMAT0028213	hsa-miR-7151-3p
MI0016014	MIMAT0018005	hsa-miR-3622b-5p	MIMAT0018006	hsa-miR-3622b-3p
MI0000780	MIMAT0026484	hsa-miR-372-5p	MIMAT0000724	hsa-miR-372-3p
MI0017291	MIMAT0019733	hsa-miR-4659b-5p	MIMAT0019734	hsa-miR-4659b-3p
MI0017299	MIMAT0019747	hsa-miR-219b-5p	MIMAT0019748	hsa-miR-219b-3p
MI0014236	MIMAT0022732	hsa-miR-3191-5p	MIMAT0015075	hsa-miR-3191-3p
MI0000454	MIMAT0037310	hsa-miR-137-5p	MIMAT0000429	hsa-miR-137-3p
MI0000811	MIMAT0004699	hsa-miR-148b-5p	MIMAT0000759	hsa-miR-148b-3p
MI0023621	MIMAT0028230	hsa-miR-7160-5p	MIMAT0028231	hsa-miR-7160-3p
MI0000743	MIMAT0000686	hsa-miR-34c-5p	MIMAT0004677	hsa-miR-34c-3p
MI0035972	MIMAT0043996	hsa-miR-11181-5p	MIMAT0043997	hsa-miR-11181-3p
MI0017368	MIMAT0019853	hsa-miR-4731-5p	MIMAT0019854	hsa-miR-4731-3p
MI0022652	MIMAT0027514	hsa-miR-6807-5p	MIMAT0027515	hsa-miR-6807-3p
MI0022575	MIMAT0027361	hsa-miR-6730-5p	MIMAT0027362	hsa-miR-6730-3p
MI0000112	MIMAT0000102	hsa-miR-105-5p	MIMAT0004516	hsa-miR-105-3p
MI0000088	MIMAT0000087	hsa-miR-30a-5p	MIMAT0000088	hsa-miR-30a-3p
MI0000287	MIMAT0000268	hsa-miR-211-5p	MIMAT0022694	hsa-miR-211-3p
MI0022712	MIMAT0027630	hsa-miR-6865-5p	MIMAT0027631	hsa-miR-6865-3p
MI0003514	MIMAT0003163	hsa-miR-539-5p	MIMAT0022705	hsa-miR-539-3p
MI0003641	MIMAT0003296	hsa-miR-627-5p	MIMAT0026623	hsa-miR-627-3p
MI0022664	MIMAT0027538	hsa-miR-6819-5p	MIMAT0027539	hsa-miR-6819-3p
MI0003142	MIMAT0002824	hsa-miR-498-5p	MIMAT0037323	hsa-miR-498-3p
MI0016426	MIMAT0019226	hsa-miR-3150b-5p	MIMAT0018194	hsa-miR-3150b-3p
MI0017355	MIMAT0019833	hsa-miR-4720-5p	MIMAT0019834	hsa-miR-4720-3p
MI0022722	MIMAT0027650	hsa-miR-6875-5p	MIMAT0027651	hsa-miR-6875-3p
MI0017871	MIMAT0021029	hsa-miR-548ao-5p	MIMAT0021030	hsa-miR-548ao-3p
MI0016416	MIMAT0027036	hsa-miR-3912-5p	MIMAT0018186	hsa-miR-3912-3p
MI0000462	MIMAT0026479	hsa-miR-152-5p	MIMAT0000438	hsa-miR-152-3p
MI0017879	MIMAT0021045	hsa-miR-5011-5p	MIMAT0021046	hsa-miR-5011-3p
MI0006444	MIMAT0022727	hsa-miR-1307-5p	MIMAT0005951	hsa-miR-1307-3p
MI0016826	MIMAT0019234	hsa-miR-4474-5p	MIMAT0019001	hsa-miR-4474-3p
MI0005542	MIMAT0004924	hsa-miR-876-5p	MIMAT0004925	hsa-miR-876-3p
MI0005761	MIMAT0004982	hsa-miR-939-5p	MIMAT0022939	hsa-miR-939-3p
MI0015995	MIMAT0017981	hsa-miR-3605-5p	MIMAT0017982	hsa-miR-3605-3p
MI0000263	MIMAT0000252	hsa-miR-7-5p	MIMAT0004553	hsa-miR-7-1-3p
MI0003516	MIMAT0004785	hsa-miR-545-5p	MIMAT0003165	hsa-miR-545-3p
MI0017399	MIMAT0019903	hsa-miR-4758-5p	MIMAT0019904	hsa-miR-4758-3p
MI0000737	MIMAT0001620	hsa-miR-200a-5p	MIMAT0000682	hsa-miR-200a-3p
MI0016080	MIMAT0018104	hsa-miR-3679-5p	MIMAT0018105	hsa-miR-3679-3p
MI0003138	MIMAT0002820	hsa-miR-497-5p	MIMAT0004768	hsa-miR-497-3p
MI0019141	MIMAT0022283	hsa-miR-5584-5p	MIMAT0022284	hsa-miR-5584-3p
MI0019149	MIMAT0019078	hsa-miR-4536-5p	MIMAT0020959	hsa-miR-4536-3p
MI0022666	MIMAT0027542	hsa-miR-6821-5p	MIMAT0027543	hsa-miR-6821-3p
MI0003684	MIMAT0003338	hsa-miR-660-5p	MIMAT0022711	hsa-miR-660-3p
MI0000774	MIMAT0004685	hsa-miR-302d-5p	MIMAT0000718	hsa-miR-302d-3p
MI0003205	MIMAT0002888	hsa-miR-532-5p	MIMAT0004780	hsa-miR-532-3p
MI0006345	MIMAT0005875	hsa-miR-548j-5p	MIMAT0026737	hsa-miR-548j-3p
MI0014187	MIMAT0019211	hsa-miR-3158-5p	MIMAT0015032	hsa-miR-3158-3p
MI0000440	MIMAT0004588	hsa-miR-27b-5p	MIMAT0000419	hsa-miR-27b-3p
MI0017419	MIMAT0019932	hsa-miR-4776-5p	MIMAT0019933	hsa-miR-4776-3p
MI0003125	MIMAT0004764	hsa-miR-490-5p	MIMAT0002806	hsa-miR-490-3p
MI0000732	MIMAT0000460	hsa-miR-194-5p	MIMAT0004671	hsa-miR-194-3p
MI0000483	MIMAT0000456	hsa-miR-186-5p	MIMAT0004612	hsa-miR-186-3p
MI0022605	MIMAT0027420	hsa-miR-6760-5p	MIMAT0027421	hsa-miR-6760-3p
MI0003160	MIMAT0002849	hsa-miR-524-5p	MIMAT0002850	hsa-miR-524-3p
MI0017403	MIMAT0019910	hsa-miR-4762-5p	MIMAT0019911	hsa-miR-4762-3p
MI0022736	MIMAT0027678	hsa-miR-6889-5p	MIMAT0027679	hsa-miR-6889-3p
MI0017421	MIMAT0019934	hsa-miR-4777-5p	MIMAT0019935	hsa-miR-4777-3p
MI0000255	MIMAT0000245	hsa-miR-30d-5p	MIMAT0004551	hsa-miR-30d-3p
MI0017363	MIMAT0019845	hsa-miR-4726-5p	MIMAT0019846	hsa-miR-4726-3p
MI0014163	MIMAT0019204	hsa-miR-3140-5p	MIMAT0015008	hsa-miR-3140-3p
MI0022717	MIMAT0027640	hsa-miR-6870-5p	MIMAT0027641	hsa-miR-6870-3p
MI0003196	MIMAT0004779	hsa-miR-509-5p	MIMAT0002881	hsa-miR-509-3p
MI0000282	MIMAT0000263	hsa-miR-199b-5p	MIMAT0004563	hsa-miR-199b-3p
MI0000079	MIMAT0004496	hsa-miR-23a-5p	MIMAT0000078	hsa-miR-23a-3p
MI0000071	MIMAT0000070	hsa-miR-17-5p	MIMAT0000071	hsa-miR-17-3p
MI0003147	MIMAT0002826	hsa-miR-515-5p	MIMAT0002827	hsa-miR-515-3p
MI0022734	MIMAT0027674	hsa-miR-6887-5p	MIMAT0027675	hsa-miR-6887-3p
MI0000748	MIMAT0004680	hsa-miR-130b-5p	MIMAT0000691	hsa-miR-130b-3p
MI0005560	MIMAT0004947	hsa-miR-885-5p	MIMAT0004948	hsa-miR-885-3p
MI0022727	MIMAT0027660	hsa-miR-6880-5p	MIMAT0027661	hsa-miR-6880-3p
MI0006327	MIMAT0022946	hsa-miR-1237-5p	MIMAT0005592	hsa-miR-1237-3p
MI0000776	MIMAT0022861	hsa-miR-376c-5p	MIMAT0000720	hsa-miR-376c-3p
MI0003686	MIMAT0003340	hsa-miR-542-5p	MIMAT0003389	hsa-miR-542-3p
MI0000299	MIMAT0004569	hsa-miR-222-5p	MIMAT0000279	hsa-miR-222-3p
MI0000291	MIMAT0000272	hsa-miR-215-5p	MIMAT0026476	hsa-miR-215-3p
MI0000683	MIMAT0000257	hsa-miR-181b-5p	MIMAT0031893	hsa-miR-181b-2-3p
MI0000467	MIMAT0000441	hsa-miR-9-5p	MIMAT0000442	hsa-miR-9-3p
MI0017443	MIMAT0019970	hsa-miR-4796-5p	MIMAT0019971	hsa-miR-4796-3p
MI0022645	MIMAT0027500	hsa-miR-6800-5p	MIMAT0027501	hsa-miR-6800-3p
MI0033422	MIMAT0041627	hsa-miR-10398-5p	MIMAT0041628	hsa-miR-10398-3p
MI0022582	MIMAT0027375	hsa-miR-6737-5p	MIMAT0027376	hsa-miR-6737-3p
MI0003583	MIMAT0003241	hsa-miR-576-5p	MIMAT0004796	hsa-miR-576-3p
MI0000448	MIMAT0004593	hsa-miR-130a-5p	MIMAT0000425	hsa-miR-130a-3p
MI0022591	MIMAT0027392	hsa-miR-6746-5p	MIMAT0027393	hsa-miR-6746-3p
MI0022636	MIMAT0027482	hsa-miR-6791-5p	MIMAT0027483	hsa-miR-6791-3p
MI0000476	MIMAT0000430	hsa-miR-138-5p	MIMAT0004607	hsa-miR-138-1-3p
MI0022705	MIMAT0027618	hsa-miR-6859-5p	MIMAT0027619	hsa-miR-6859-3p
MI0022599	MIMAT0027408	hsa-miR-6754-5p	MIMAT0027409	hsa-miR-6754-3p
MI0016079	MIMAT0018102	hsa-miR-3678-5p	MIMAT0018103	hsa-miR-3678-3p
MI0019150	MIMAT0022299	hsa-miR-5590-5p	MIMAT0022300	hsa-miR-5590-3p
MI0000767	MIMAT0009199	hsa-miR-365a-5p	MIMAT0000710	hsa-miR-365a-3p
MI0000474	MIMAT0000447	hsa-miR-134-5p	MIMAT0026481	hsa-miR-134-3p
MI0022634	MIMAT0027478	hsa-miR-6789-5p	MIMAT0027479	hsa-miR-6789-3p
MI0003567	MIMAT0022706	hsa-miR-561-5p	MIMAT0003225	hsa-miR-561-3p
MI0000740	MIMAT0000276	hsa-miR-219a-5p	MIMAT0004675	hsa-miR-219a-2-3p
MI0022617	MIMAT0027444	hsa-miR-6772-5p	MIMAT0027445	hsa-miR-6772-3p
MI0022555	MIMAT0027345	hsa-miR-6720-5p	MIMAT0025851	hsa-miR-6720-3p
MI0003673	MIMAT0003327	hsa-miR-449b-5p	MIMAT0009203	hsa-miR-449b-3p
MI0000783	MIMAT0037313	hsa-miR-375-5p	MIMAT0000728	hsa-miR-375-3p
MI0022672	MIMAT0027554	hsa-miR-6827-5p	MIMAT0027555	hsa-miR-6827-3p
MI0005568	MIMAT0032026	hsa-miR-301b-5p	MIMAT0004958	hsa-miR-301b-3p
MI0022958	MIMAT0028111	hsa-miR-7107-5p	MIMAT0028112	hsa-miR-7107-3p
MI0022627	MIMAT0027464	hsa-miR-6782-5p	MIMAT0027465	hsa-miR-6782-3p
MI0000651	MIMAT0031892	hsa-miR-1-5p	MIMAT0000416	hsa-miR-1-3p
MI0026419	MIMAT0027440	hsa-miR-6770-5p	MIMAT0027441	hsa-miR-6770-3p
MI0003562	MIMAT0003220	hsa-miR-556-5p	MIMAT0004793	hsa-miR-556-3p
MI0022223	MIMAT0025478	hsa-miR-6511a-5p	MIMAT0025479	hsa-miR-6511a-3p
MI0001733	MIMAT0001635	hsa-miR-452-5p	MIMAT0001636	hsa-miR-452-3p
MI0000080	MIMAT0000079	hsa-miR-24-1-5p	MIMAT0000080	hsa-miR-24-3p
MI0022698	MIMAT0027604	hsa-miR-6852-5p	MIMAT0027605	hsa-miR-6852-3p
MI0022209	MIMAT0025450	hsa-miR-6499-5p	MIMAT0025451	hsa-miR-6499-3p
MI0029321	MIMAT0035703	hsa-miR-548bb-5p	MIMAT0035704	hsa-miR-548bb-3p
MI0000816	MIMAT0000765	hsa-miR-335-5p	MIMAT0004703	hsa-miR-335-3p
MI0039500	MIMAT0048635	hsa-miR-3085-5p	MIMAT0048636	hsa-miR-3085-3p
MI0017333	MIMAT0019796	hsa-miR-4700-5p	MIMAT0019797	hsa-miR-4700-3p
MI0022612	MIMAT0027434	hsa-miR-6767-5p	MIMAT0027435	hsa-miR-6767-3p
MI0023616	MIMAT0028222	hsa-miR-7156-5p	MIMAT0028223	hsa-miR-7156-3p
MI0022677	MIMAT0027564	hsa-miR-6832-5p	MIMAT0027565	hsa-miR-6832-3p
MI0026421	MIMAT0027618	hsa-miR-6859-5p	MIMAT0027619	hsa-miR-6859-3p
MI0022213	MIMAT0025458	hsa-miR-6501-5p	MIMAT0025459	hsa-miR-6501-3p
MI0005530	MIMAT0004779	hsa-miR-509-5p	MIMAT0002881	hsa-miR-509-3p
MI0022622	MIMAT0027454	hsa-miR-6777-5p	MIMAT0027455	hsa-miR-6777-3p
MI0017296	MIMAT0019741	hsa-miR-4666a-5p	MIMAT0019742	hsa-miR-4666a-3p
MI0014239	MIMAT0015078	hsa-miR-3194-5p	MIMAT0019218	hsa-miR-3194-3p
MI0014231	MIMAT0019216	hsa-miR-3187-5p	MIMAT0015069	hsa-miR-3187-3p
MI0003823	MIMAT0010251	hsa-miR-449c-5p	MIMAT0013771	hsa-miR-449c-3p
MI0010635	MIMAT0011160	hsa-miR-2116-5p	MIMAT0011161	hsa-miR-2116-3p
MI0003609	MIMAT0003265	hsa-miR-597-5p	MIMAT0026619	hsa-miR-597-3p
MI0003601	MIMAT0004800	hsa-miR-550a-5p	MIMAT0003257	hsa-miR-550a-3p
MI0017260	MIMAT0019689	hsa-miR-4633-5p	MIMAT0019690	hsa-miR-4633-3p
MI0023614	MIMAT0028218	hsa-miR-7154-5p	MIMAT0028219	hsa-miR-7154-3p
MI0016011	MIMAT0022967	hsa-miR-3620-5p	MIMAT0018001	hsa-miR-3620-3p
MI0017294	MIMAT0019737	hsa-miR-4664-5p	MIMAT0019738	hsa-miR-4664-3p
MI0000459	MIMAT0004599	hsa-miR-143-5p	MIMAT0000435	hsa-miR-143-3p
MI0000451	MIMAT0026478	hsa-miR-133a-5p	MIMAT0000427	hsa-miR-133a-3p
MI0022587	MIMAT0027385	hsa-miR-6742-5p	MIMAT0027386	hsa-miR-6742-3p
MI0003130	MIMAT0002810	hsa-miR-202-5p	MIMAT0002811	hsa-miR-202-3p
MI0019113	MIMAT0018106	hsa-miR-3680-5p	MIMAT0018107	hsa-miR-3680-3p
MI0000814	MIMAT0004701	hsa-miR-338-5p	MIMAT0000763	hsa-miR-338-3p
MI0033417	MIMAT0041617	hsa-miR-10393-5p	MIMAT0041618	hsa-miR-10393-3p
MI0016003	MIMAT0017990	hsa-miR-3613-5p	MIMAT0017991	hsa-miR-3613-3p
MI0008335	MIMAT0007889	hsa-miR-1914-5p	MIMAT0007890	hsa-miR-1914-3p
MI0000762	MIMAT0000705	hsa-miR-362-5p	MIMAT0004683	hsa-miR-362-3p
MI0000342	MIMAT0004571	hsa-miR-200b-5p	MIMAT0000318	hsa-miR-200b-3p
MI0001150	MIMAT0001080	hsa-miR-196b-5p	MIMAT0009201	hsa-miR-196b-3p
MI0017396	MIMAT0019897	hsa-miR-499b-5p	MIMAT0019898	hsa-miR-499b-3p
MI0000095	MIMAT0000093	hsa-miR-93-5p	MIMAT0004509	hsa-miR-93-3p
MI0003844	MIMAT0005798	hsa-miR-1185-5p	MIMAT0022838	hsa-miR-1185-1-3p
MI0017347	MIMAT0019820	hsa-miR-4713-5p	MIMAT0019821	hsa-miR-4713-3p
MI0022661	MIMAT0027532	hsa-miR-6816-5p	MIMAT0027533	hsa-miR-6816-3p
MI0022669	MIMAT0027548	hsa-miR-6824-5p	MIMAT0027549	hsa-miR-6824-3p
MI0019146	MIMAT0022293	hsa-miR-1295b-5p	MIMAT0022294	hsa-miR-1295b-3p
MI0006649	MIMAT0005789	hsa-miR-513c-5p	MIMAT0022728	hsa-miR-513c-3p
MI0000480	MIMAT0000452	hsa-miR-154-5p	MIMAT0000453	hsa-miR-154-3p
MI0014147	MIMAT0014995	hsa-miR-3130-5p	MIMAT0014994	hsa-miR-3130-3p
MI0006385	MIMAT0005902	hsa-miR-1250-5p	MIMAT0026740	hsa-miR-1250-3p
MI0003529	MIMAT0022928	hsa-miR-376a-2-5p	MIMAT0000729	hsa-miR-376a-3p
MI0000443	MIMAT0004591	hsa-miR-124-5p	MIMAT0000422	hsa-miR-124-3p
MI0017874	MIMAT0021035	hsa-miR-5007-5p	MIMAT0021036	hsa-miR-5007-3p
MI0019135	MIMAT0022273	hsa-miR-5580-5p	MIMAT0022274	hsa-miR-5580-3p
MI0017448	MIMAT0019978	hsa-miR-4800-5p	MIMAT0019979	hsa-miR-4800-3p
MI0016780	MIMAT0032115	hsa-miR-548ae-5p	MIMAT0018954	hsa-miR-548ae-3p
MI0000238	MIMAT0000226	hsa-miR-196a-5p	MIMAT0037307	hsa-miR-196a-1-3p
MI0000242	MIMAT0000231	hsa-miR-199a-5p	MIMAT0000232	hsa-miR-199a-3p
MI0017432	MIMAT0019952	hsa-miR-2467-5p	MIMAT0019953	hsa-miR-2467-3p
MI0003187	MIMAT0001545	hsa-miR-450a-5p	MIMAT0031074	hsa-miR-450a-2-3p
MI0000788	MIMAT0000734	hsa-miR-380-5p	MIMAT0000735	hsa-miR-380-3p
MI0003678	MIMAT0026627	hsa-miR-656-5p	MIMAT0003332	hsa-miR-656-3p
MI0015903	MIMAT0016925	hsa-miR-500b-5p	MIMAT0027032	hsa-miR-500b-3p
MI0017876	MIMAT0021039	hsa-miR-5008-5p	MIMAT0021040	hsa-miR-5008-3p
MI0016411	MIMAT0018180	hsa-miR-3689b-5p	MIMAT0018181	hsa-miR-3689b-3p
MI0003646	MIMAT0003301	hsa-miR-33b-5p	MIMAT0004811	hsa-miR-33b-3p
MI0011284	MIMAT0017352	hsa-miR-2277-5p	MIMAT0011777	hsa-miR-2277-3p
MI0016429	MIMAT0019227	hsa-miR-3922-5p	MIMAT0018197	hsa-miR-3922-3p
MI0019144	MIMAT0022289	hsa-miR-5587-5p	MIMAT0022290	hsa-miR-5587-3p
MI0001725	MIMAT0026555	hsa-miR-329-5p	MIMAT0001629	hsa-miR-329-3p
