pre_miRNA	arm_5p_acc	arm_5p_name	arm_3p_acc	arm_3p_name
MI0000486	MIMAT0000458	hsa-miR-190a-5p	MIMAT0026482	hsa-miR-190a-3p
MI0016089	MIMAT0019223	hsa-miR-3688-5p	MIMAT0018116	hsa-miR-3688-3p
MI0016081	MIMAT0018106	hsa-miR-3680-5p	MIMAT0018107	hsa-miR-3680-3p
MI0014190	MIMAT0019212	hsa-miR-3160-5p	MIMAT0015034	hsa-miR-3160-3p
MI0022733	MIMAT0027672	hsa-miR-6886-5p	MIMAT0027673	hsa-miR-6886-3p
MI0003667	MIMAT0022709	hsa-miR-652-5p	MIMAT0003322	hsa-miR-652-3p
MI0000458	MIMAT0000433	hsa-miR-142-5p	MIMAT0000434	hsa-miR-142-3p
MI0016092	MIMAT0018120	hsa-miR-3691-5p	MIMAT0019224	hsa-miR-3691-3p
MI0022655	MIMAT0027520	hsa-miR-6810-5p	MIMAT0027521	hsa-miR-6810-3p
MI0022572	MIMAT0027355	hsa-miR-6727-5p	MIMAT0027356	hsa-miR-6727-3p
MI0000115	MIMAT0000069	hsa-miR-16-5p	MIMAT0004518	hsa-miR-16-2-3p
MI0003933	MIMAT0010357	hsa-miR-670-5p	MIMAT0026640	hsa-miR-670-3p
MI0022682	MIMAT0027574	hsa-miR-6836-5p	MIMAT0027575	hsa-miR-6836-3p
MI0000773	MIMAT0000716	hsa-miR-302c-5p	MIMAT0000717	hsa-miR-302c-3p
MI0003683	MIMAT0022710	hsa-miR-659-5p	MIMAT0003337	hsa-miR-659-3p
MI0015973	MIMAT0022943	hsa-miR-1233-5p	MIMAT0005588	hsa-miR-1233-3p
MI0017870	MIMAT0021027	hsa-miR-5004-5p	MIMAT0021028	hsa-miR-5004-3p
MI0000750	MIMAT0000082	hsa-miR-26a-5p	MIMAT0004681	hsa-miR-26a-2-3p
MI0000484	MIMAT0000457	hsa-miR-188-5p	MIMAT0004613	hsa-miR-188-3p
MI0003193	MIMAT0022701	hsa-miR-506-5p	MIMAT0002878	hsa-miR-506-3p
MI0018176	MIMAT0021130	hsa-miR-5197-5p	MIMAT0021131	hsa-miR-5197-3p
MI0000065	MIMAT0000065	hsa-let-7d-5p	MIMAT0004484	hsa-let-7d-3p
MI0026418	MIMAT0027440	hsa-miR-6770-5p	MIMAT0027441	hsa-miR-6770-3p
MI0017404	MIMAT0019912	hsa-miR-4763-5p	MIMAT0019913	hsa-miR-4763-3p
MI0022691	MIMAT0027590	hsa-miR-6845-5p	MIMAT0027591	hsa-miR-6845-3p
MI0022699	MIMAT0027606	hsa-miR-6853-5p	MIMAT0027607	hsa-miR-6853-3p
MI0006443	MIMAT0022726	hsa-miR-1306-5p	MIMAT0005950	hsa-miR-1306-3p
MI0022959	MIMAT0028113	hsa-miR-7108-5p	MIMAT0028114	hsa-miR-7108-3p
MI0017865	MIMAT0021017	hsa-miR-4999-5p	MIMAT0021018	hsa-miR-4999-3p
MI0000290	MIMAT0004564	hsa-miR-214-5p	MIMAT0000271	hsa-miR-214-3p
MI0022687	MIMAT0027584	hsa-miR-6841-5p	MIMAT0027585	hsa-miR-6841-3p
MI0005569	MIMAT0004959	hsa-miR-216b-5p	MIMAT0026721	hsa-miR-216b-3p
MI0005561	MIMAT0004949	hsa-miR-877-5p	MIMAT0004950	hsa-miR-877-3p
MI0000264	MIMAT0000252	hsa-miR-7-5p	MIMAT0004554	hsa-miR-7-2-3p
MI0014215	MIMAT0015057	hsa-miR-3180-5p	MIMAT0015058	hsa-miR-3180-3p
MI0000070	MIMAT0000069	hsa-miR-16-5p	MIMAT0004489	hsa-miR-16-1-3p
MI0002466	MIMAT0022923	hsa-miR-376b-5p	MIMAT0002172	hsa-miR-376b-3p
MI0017420	MIMAT0019932	hsa-miR-4776-5p	MIMAT0019933	hsa-miR-4776-3p
MI0016078	MIMAT0019221	hsa-miR-3677-5p	MIMAT0018101	hsa-miR-3677-3p
MI0001445	MIMAT0004748	hsa-miR-423-5p	MIMAT0001340	hsa-miR-423-3p
MI0012063	MIMAT0013517	hsa-miR-2682-5p	MIMAT0013518	hsa-miR-2682-3p
MI0003169	MIMAT0005450	hsa-miR-518e-5p	MIMAT0002861	hsa-miR-518e-3p
MI0008329	MIMAT0007881	hsa-miR-1908-5p	MIMAT0026916	hsa-miR-1908-3p
MI0003513	MIMAT0003150	hsa-miR-455-5p	MIMAT0004784	hsa-miR-455-3p
MI0003161	MIMAT0002851	hsa-miR-517-5p	MIMAT0002852	hsa-miR-517a-3p
MI0022663	MIMAT0027536	hsa-miR-6818-5p	MIMAT0027537	hsa-miR-6818-3p
MI0002464	MIMAT0026557	hsa-miR-412-5p	MIMAT0002170	hsa-miR-412-3p
MI0022598	MIMAT0027406	hsa-miR-6753-5p	MIMAT0027407	hsa-miR-6753-3p
MI0016601	MIMAT0019231	hsa-miR-3944-5p	MIMAT0018360	hsa-miR-3944-3p
MI0000449	MIMAT0004594	hsa-miR-132-5p	MIMAT0000426	hsa-miR-132-3p
MI0017410	MIMAT0019922	hsa-miR-4769-5p	MIMAT0019923	hsa-miR-4769-3p
MI0000441	MIMAT0000420	hsa-miR-30b-5p	MIMAT0004589	hsa-miR-30b-3p
MI0000266	MIMAT0000253	hsa-miR-10a-5p	MIMAT0004555	hsa-miR-10a-3p
MI0022577	MIMAT0027365	hsa-miR-6732-5p	MIMAT0027366	hsa-miR-6732-3p
MI0000804	MIMAT0026486	hsa-miR-328-5p	MIMAT0000752	hsa-miR-328-3p
MI0000285	MIMAT0000266	hsa-miR-205-5p	MIMAT0009197	hsa-miR-205-3p
MI0003938	MIMAT0005800	hsa-miR-1298-5p	MIMAT0026641	hsa-miR-1298-3p
MI0016013	MIMAT0018003	hsa-miR-3622a-5p	MIMAT0018004	hsa-miR-3622a-3p
MI0006414	MIMAT0005928	hsa-miR-548h-5p	MIMAT0022723	hsa-miR-548h-3p
MI0016770	MIMAT0032114	hsa-miR-548ad-5p	MIMAT0018946	hsa-miR-548ad-3p
MI0000453	MIMAT0000428	hsa-miR-135a-5p	MIMAT0037309	hsa-miR-135a-2-3p
MI0017357	MIMAT0019836	hsa-miR-4722-5p	MIMAT0019837	hsa-miR-4722-3p
MI0022738	MIMAT0027682	hsa-miR-6891-5p	MIMAT0027683	hsa-miR-6891-3p
MI0000744	MIMAT0002890	hsa-miR-299-5p	MIMAT0000687	hsa-miR-299-3p
MI0016009	MIMAT0017999	hsa-miR-3619-5p	MIMAT0019219	hsa-miR-3619-3p
MI0000470	MIMAT0000423	hsa-miR-125b-5p	MIMAT0004603	hsa-miR-125b-2-3p
MI0022630	MIMAT0027470	hsa-miR-6785-5p	MIMAT0027471	hsa-miR-6785-3p
MI0016846	MIMAT0032116	hsa-miR-4485-5p	MIMAT0019019	hsa-miR-4485-3p
MI0000746	MIMAT0000689	hsa-miR-99b-5p	MIMAT0004678	hsa-miR-99b-3p
MI0022221	MIMAT0025474	hsa-miR-6509-5p	MIMAT0025475	hsa-miR-6509-3p
MI0016435	MIMAT0022970	hsa-miR-3927-5p	MIMAT0018202	hsa-miR-3927-3p
MI0003198	MIMAT0022702	hsa-miR-514a-5p	MIMAT0002883	hsa-miR-514a-3p
MI0022742	MIMAT0027690	hsa-miR-6895-5p	MIMAT0027691	hsa-miR-6895-3p
MI0031521	MIMAT0027618	hsa-miR-6859-5p	MIMAT0027619	hsa-miR-6859-3p
MI0003780	MIMAT0005794	hsa-miR-1296-5p	MIMAT0026637	hsa-miR-1296-3p
MI0022219	MIMAT0025470	hsa-miR-6507-5p	MIMAT0025471	hsa-miR-6507-3p
MI0000806	MIMAT0004695	hsa-miR-337-5p	MIMAT0000754	hsa-miR-337-3p
MI0000735	MIMAT0004673	hsa-miR-29c-5p	MIMAT0000681	hsa-miR-29c-3p
MI0022211	MIMAT0025454	hsa-miR-6500-5p	MIMAT0025455	hsa-miR-6500-3p
MI0003177	MIMAT0005451	hsa-miR-522-5p	MIMAT0002868	hsa-miR-522-3p
MI0003821	MIMAT0005798	hsa-miR-1185-5p	MIMAT0022713	hsa-miR-1185-2-3p
MI0000778	MIMAT0026483	hsa-miR-370-5p	MIMAT0000722	hsa-miR-370-3p
MI0000252	MIMAT0000242	hsa-miR-129-5p	MIMAT0004548	hsa-miR-129-1-3p
MI0014233	MIMAT0019217	hsa-miR-3189-5p	MIMAT0015071	hsa-miR-3189-3p
MI0003629	MIMAT0003284	hsa-miR-616-5p	MIMAT0004805	hsa-miR-616-3p
MI0022602	MIMAT0027414	hsa-miR-6757-5p	MIMAT0027415	hsa-miR-6757-3p
MI0017977	MIMAT0021080	hsa-miR-5088-5p	MIMAT0027041	hsa-miR-5088-3p
MI0005545	MIMAT0004929	hsa-miR-190b-5p	MIMAT0037332	hsa-miR-190b-3p
MI0014185	MIMAT0015031	hsa-miR-3157-5p	MIMAT0019210	hsa-miR-3157-3p
MI0003134	MIMAT0026607	hsa-miR-494-5p	MIMAT0002816	hsa-miR-494-3p
MI0017385	MIMAT0019880	hsa-miR-4746-5p	MIMAT0019881	hsa-miR-4746-3p
MI0000810	MIMAT0000758	hsa-miR-135b-5p	MIMAT0004698	hsa-miR-135b-3p
MI0000086	MIMAT0000085	hsa-miR-28-5p	MIMAT0004502	hsa-miR-28-3p
MI0023620	MIMAT0028228	hsa-miR-7159-5p	MIMAT0028229	hsa-miR-7159-3p
MI0017290	MIMAT0019731	hsa-miR-4662a-5p	MIMAT0019732	hsa-miR-4662a-3p
MI0000781	MIMAT0000725	hsa-miR-373-5p	MIMAT0000726	hsa-miR-373-3p
MI0003671	MIMAT0004812	hsa-miR-548d-5p	MIMAT0003323	hsa-miR-548d-3p
MI0003127	MIMAT0002808	hsa-miR-511-5p	MIMAT0026606	hsa-miR-511-3p
MI0003679	MIMAT0037328	hsa-miR-549a-5p	MIMAT0003333	hsa-miR-549a-3p
MI0000789	MIMAT0022862	hsa-miR-381-5p	MIMAT0000736	hsa-miR-381-3p
MI0016418	MIMAT0018187	hsa-miR-3913-5p	MIMAT0019225	hsa-miR-3913-3p
MI0022607	MIMAT0027424	hsa-miR-6762-5p	MIMAT0027425	hsa-miR-6762-3p
MI0003172	MIMAT0002859	hsa-miR-516b-5p	MIMAT0002860	hsa-miR-516b-3p
MI0022715	MIMAT0027636	hsa-miR-6868-5p	MIMAT0027637	hsa-miR-6868-3p
MI0006432	MIMAT0026743	hsa-miR-1288-5p	MIMAT0005942	hsa-miR-1288-3p
MI0000239	MIMAT0022691	hsa-miR-197-5p	MIMAT0000227	hsa-miR-197-3p
MI0003581	MIMAT0004795	hsa-miR-574-5p	MIMAT0003239	hsa-miR-574-3p
