3641,4
1666,4
733,4
475,4
3090,159
665,23
1631,177
992,147
1668,129
1666,62
1681,72
1468,94
1229,72
420,29
2746,42
630,178
3663,181
2198,42
3392,115
2027,134
3036,134
2848,164
617,164
2584,164
3468,164
2193,134
2697,89
3468,211
2340,28
206,15
508,22
825,162
1345,89
2615,69
264,217
423,152
666,152
2631,152
3580,152
795,152
1971,152
662,152
2319,152
1470,152
1811,152
2746,152
2682,152
901,152
3319,178
3232,35
2062,35
2367,35
420,178
2344,178
847,35
1861,35
1897,93
1951,93
2503,93
429,93
513,93
2581,93
967,93
2521,93
3291,93
2741,129
362,65
2654,29
2103,160
1337,178
2746,129
3291,106
2009,129
2051,178
758,0
2474,29
1652,129
3126,129
2683,75
1523,75
2696,75
1379,66
1862,66
1767,75
2827,75
1490,75
2466,75
3419,66
3394,66
3593,66
2381,75
3427,75
362,66
2584,66
3333,66
1159,66
3564,66
2373,66
2023,75
453,98
1498,98
2693,98
3344,98
2683,98
3392,98
2777,98
553,210
140,78
1252,105
1316,58
2224,78
1067,4
462,105
1221,94
2583,60
1631,150
3358,150
901,150
1445,150
2581,150
3724,20
2503,4
1499,106
1473,3
3142,3
1305,3
2716,4
140,3
2742,91
2625,91
2567,91
1548,91
2766,146
1439,115
677,168
3140,115
2729,115
2879,168
1365,146
2746,168
1877,181
1088,168
3273,181
1818,181
934,168
1631,181
1238,181
1336,18
3677,18
957,178
2999,143
3046,94
2164,178
362,106
2900,106
3319,106
3090,106
2470,106
2340,58
858,58
3134,58
493,108
2721,58
136,58
285,108
3103,58
2182,3
2103,168
3609,168
2721,3
1113,168
3724,3
2730,3
1227,3
1818,204
1847,204
1087,204
2455,55
2365,204
228,5
1760,5
2350,5
2269,75
60,213
1365,213
2881,213
1534,5
499,75
2591,75
2994,45
2521,23
755,214
1136,5
564,180
508,72
3672,147
1307,58
3737,147
1337,147
1562,55
3268,55
3159,93
630,93
1408,93
1371,93
2730,93
2841,93
285,93
1749,124
2187,95
1094,124
2075,124
2766,124
3232,95
977,95
1804,95
2941,108
1911,12
3159,49
3334,195
1285,42
1647,108
2460,12
1521,180
726,112
608,180
1804,112
3362,112
3040,180
1530,112
1951,180
1490,4
3336,4
2737,4
365,4
1333,4
531,4
2848,4
3103,4
2062,4
1307,4
1028,25
2211,4
3638,25
2738,25
2341,4
3053,25
790,25
1015,25
2527,4
3268,25
2739,25
238,187
362,55
2953,55
3637,55
1914,55
1371,55
858,187
59,187
3608,187
2466,160
2367,162
55,35
1494,35
291,124
1573,124
2521,164
216,29
630,29
1508,124
2998,29
2024,164
1800,124
365,112
2730,27
285,112
2670,112
2739,27
542,27
1711,112
3232,112
2471,168
1675,27
236,27
2023,147
2852,111
2552,147
2607,111
1058,111
1172,111
543,111
1971,86
2592,183
547,42
1915,86
264,86
2075,183
3468,183
2584,42
3609,86
1635,183
2265,42
2739,86
1136,42
1307,59
2041,58
184,191
942,179
3063,59
3282,179
1711,155
732,75
1568,69
3580,69
2584,69
28,69
136,69
3515,69
3468,69
905,69
2921,69
2475,69
3228,69
1473,69
3585,49
871,43
2994,181
3036,181
2245,181
2897,49
901,49
3684,180
1652,180
2730,180
3332,180
1705,180
677,152
967,29
753,126
1902,142
1548,216
2470,142
851,4
3369,152
2746,142
2471,152
677,169
2737,169
1661,169
1939,169
2994,169
3130,169
3212,169
2716,169
2507,169
1652,169
2388,169
286,169
1549,169
632,62
1015,168
688,8
3336,129
2348,8
1807,157
2295,4
2466,4
1469,4
997,4
790,52
2062,52
2023,52
1675,52
854,52
2593,52
540,52
1204,95
3329,95
60,95
1473,95
3411,95
2024,95
2432,95
2226,158
1169,158
2348,158
1252,158
3046,158
2078,158
1753,158
1505,158
3549,158
1301,147
901,11
2807,2
1726,11
3725,11
3087,11
553,0
1778,2
3170,2
1855,17
895,17
1227,17
2009,147
3409,75
2739,75
463,75
2795,75
611,75
3350,75
1473,75
1230,75
2632,75
3247,75
508,75
2797,119
3663,119
1410,119
125,180
2793,119
1954,152
1549,78
2807,193
3120,156
617,156
2593,151
1113,151
179,151
719,109
2739,109
794,109
1710,109
621,109
181,109
3254,109
183,204
3344,177
622,177
3238,177
668,204
2881,33
3605,177
3092,204
65,147
3323,147
3282,147
3232,147
3677,147
3491,147
834,147
3531,142
2465,168
371,142
1056,168
3390,125
2730,125
565,168
1017,142
2881,165
630,211
3663,170
2138,147
2670,4
3087,185
3114,55
3609,62
1405,55
3435,62
1427,169
3350,169
3729,62
2122,169
123,62
3361,169
630,62
1307,129
1336,4
2820,129
3618,174
2373,94
2820,190
1113,86
1276,86
1408,190
2319,86
60,86
1307,86
639,86
3605,190
538,55
2465,55
2848,55
3698,10
2592,82
2738,142
2955,132
2610,132
80,132
1131,108
2024,108
3087,108
1877,108
2239,108
2922,8
751,63
1498,54
3030,178
1087,54
1835,165
420,192
1566,152
2739,69
630,152
3126,69
3468,61
2116,152
1408,95
2365,95
1336,95
1573,11
285,95
1914,177
2365,23
128,177
3394,23
666,41
3531,152
2936,152
2299,152
2836,152
3684,41
1172,152
1631,152
3531,204
9,204
369,147
2341,79
14,204
3568,79
3291,79
1408,125
1641,19
2451,129
1549,89
1877,133
404,217
903,94
2773,181
622,117
370,42
2682,136
3112,136
2078,211
3585,124
1365,206
3101,124
2463,58
2107,15
3724,15
1939,142
178,38
2739,38
3484,38
420,15
1965,8
572,8
1473,160
3228,160
1552,190
1483,112
2686,51
3224,27
2670,27
1113,190
3046,8
1235,181
727,178
3232,181
1499,134
688,78
3693,159
2848,60
3193,60
901,167
2749,174
2712,174
1568,167
2670,167
820,167
3409,167
661,171
2711,171
1246,171
1854,171
3220,126
706,171
2900,58
3046,58
2595,58
2048,58
57,58
1534,58
969,58
492,58
3582,58
1549,58
494,168
969,168
542,168
1080,168
487,168
2711,168
168,168
3097,168
3350,168
1386,168
577,168
895,39
3232,178
2521,39
1116,158
2388,158
2821,158
3468,39
977,181
3232,89
487,181
1238,89
2540,89
3629,89
60,181
2507,147
2388,42
